Word,Count,Temp,Space,SpaceTime,Label
'leadership',52,0.56004432,0.408354012,0.009817583,1
'respect',36,0.43408112,0.545767414,0.007675185,1
'texas',32,0.382150416,0.470986093,0.00646759,1
'halloween',61,0.337290067,0.52791286,0.010008437,3
'iowa',1152,0.249882293,0.997687576,0.124991112,2
'cedarrapids',620,0.912228095,0.201595108,0.040035152,2
'iowacity',410,0.878360939,0.287731285,0.020839569,2
'weare',14,0.16232618,0.23181305,0.002354759,4
'desmoines',2980,0.621629782,0.470986093,0.095075129,2
'iowastatefair',54,0.263188779,0.201595108,0.004801474,4
'ames',164,0.568114702,0.23181305,0.010008437,2
'nye',11,0.111641315,0.169491239,0.002118567,4
'westdesmoines',829,0.999360957,0.097439826,0.030047409,2
'solareclipse2017',32,0.207942667,0.386018901,0.004587723,4
'bix7',19,0.129233775,0.055037935,0.00163554,4
'davenport',634,0.781728122,0.055037935,0.015857897,2
'sb51',63,0.178006896,0.490549878,0.006057665,3
'cyclonenation',274,0.902690533,0.698700353,0.033902469,2
'photo',6545,0.029264475,0.968700344,0.251910808,1
'vikings',36,0.348810248,0.42992832,0.006873652,1
'iawx',290,0.942781963,0.685277518,0.033902469,1
'solheimcup',29,0.14609425,0.135036203,0.002118567,4
'nationalpuppyday',41,0.052563751,0.596298858,0.006057665,3
'iahsbkb',104,0.443975034,0.338823896,0.008659342,2
'drakerelays',31,0.16232618,0.23181305,0.003272212,4
'job',4932,0.896038233,0.685277518,0.132574783,1
'hiring',4588,0.892623013,0.685277518,0.128150164,1
'waterloo',157,0.5351504,0.169491239,0.009048019,2
'urbandale',225,0.874643448,0.201595108,0.020839569,2
'councilbluffs',144,0.543564443,0.055037935,0.009241361,2
'newprofilepic',302,0.999974442,0.946579449,0.04922148,1
'heismanhouse',71,0.500274937,0.698700353,0.014436146,1
'flythew',260,0.791858353,0.823502377,0.032525637,3
'maymac365',74,0.193196413,0.782695976,0.012440156,3
'nbafinals',64,0.222284831,0.408354012,0.007075316,3
'marchmadness',191,0.392882904,0.73676801,0.021007174,3
'nationalchampionship',32,0.129233775,0.362865056,0.004155875,4
'gameofthrones',159,0.348810248,0.64266914,0.016735063,3
'grammys',54,0.073603483,0.579940245,0.005434871,3
'rivalrybeef',82,0.313584996,0.748752313,0.012256095,3
'nowplaying',51,0.543564443,0.362865056,0.009626128,2
'betawards',5,0.052563751,0.097439826,0.000873927,4
'life',72,0.68345098,0.545767414,0.013716162,2
'360nats',15,0.093171318,0.169491239,0.002118567,4
