Word,Normalized Count,Normalized Temporal Entropy,Normalized Spatial Entropy,Normalized SpatioTemporal Entropy,Spatial-Temporal,Label
'leadership',0.007944996,0.560058634,0.409300488,0.038972456,-0.150758146,1
'respect',0.005500382,0.434092215,0.547032385,0.030467867,0.11294017,3
'texas',0.004889228,0.382160183,0.472077737,0.025674127,0.089917554,1
'halloween',0.009320092,0.337298688,0.529136448,0.039730082,0.19183776,3
'iowa',0.176012223,0.24988868,1,0.49617209,0.75011132,3
'cedarrapids',0.094728801,0.91225141,0.202062362,0.1589259,-0.710189048,2
'iowacity',0.062643239,0.878383389,0.288398184,0.082725982,-0.589985205,2
'weare',0.002139037,0.162330329,0.232350343,0.00934759,0.070020014,4
'desmoines',0.455309396,0.62164567,0.472077737,0.377415839,-0.149567933,1
'iowastatefair',0.008250573,0.263195506,0.202062362,0.019060214,-0.061133144,1
'ames',0.025057296,0.568129222,0.232350343,0.039730082,-0.33577888,2
'nye',0.001680672,0.111644168,0.169884083,0.008409989,0.058239915,4
'westdesmoines',0.126661574,0.999386499,0.09766567,0.119277967,-0.901720829,2
'solareclipse2017',0.004889228,0.207947982,0.386913609,0.018211696,0.178965628,4
'bix7',0.002902979,0.129237078,0.055165501,0.006492536,-0.074071577,4
'davenport',0.096867838,0.781748102,0.055165501,0.062950443,-0.726582601,2
'sb51',0.009625668,0.178011446,0.491686867,0.024046864,0.313675421,3
'cyclonenation',0.041864018,0.902713605,0.700319789,0.13458124,-0.202393815,2
'photo',1,0.029265223,0.970945582,1,0.941680359,3
'vikings',0.005500382,0.348819163,0.430924801,0.027286054,0.082105638,1
'iawx',0.044308633,0.942806059,0.686865843,0.13458124,-0.255940216,2
'solheimcup',0.004430863,0.146097984,0.135349188,0.008409989,-0.010748796,4
'nationalpuppyday',0.006264324,0.052565094,0.59768095,0.024046864,0.545115855,3
'iahsbkb',0.015889992,0.443986381,0.339609217,0.034374635,-0.104377165,1
'drakerelays',0.00473644,0.162330329,0.232350343,0.012989566,0.070020014,4
'job',0.75355233,0.896061135,0.686865843,0.526276677,-0.209195291,2
'hiring',0.700993125,0.892645827,0.686865843,0.508712449,-0.205779984,2
'waterloo',0.023987777,0.535164078,0.169884083,0.03591755,-0.365279995,2
'urbandale',0.034377387,0.874665803,0.202062362,0.082725982,-0.672603441,2
'councilbluffs',0.022001528,0.543578336,0.055165501,0.036685052,-0.488412835,2
'newprofilepic',0.046142093,1,0.948773415,0.19539249,-0.051226585,1
'heismanhouse',0.010847976,0.500287723,0.700319789,0.057306577,0.200032066,3
'flythew',0.039724981,0.791878592,0.825411077,0.129115687,0.033532486,1
'maymac365',0.011306341,0.193201351,0.784510096,0.049383177,0.591308745,3
'nbafinals',0.009778457,0.222290512,0.409300488,0.028086592,0.187009976,3
'marchmadness',0.029182582,0.392892946,0.738475679,0.083391317,0.345582733,3
'nationalchampionship',0.004889228,0.129237078,0.363706099,0.016497406,0.234469021,4
'gameofthrones',0.024293354,0.348819163,0.644158708,0.066432493,0.295339545,3
'grammys',0.008250573,0.073605364,0.581284421,0.021574584,0.507679057,3
'rivalrybeef',0.012528648,0.313593011,0.750487759,0.048652518,0.436894748,3
'nowplaying',0.007792208,0.543578336,0.363706099,0.038212445,-0.179872237,1
'betawards',0.000763942,0.052565094,0.09766567,0.003469192,0.045100576,4
'life',0.011000764,0.683468448,0.547032385,0.054448486,-0.136436063,1
'360nats',0.002291826,0.093173699,0.169884083,0.008409989,0.076710384,4
'5hournats',0.006111536,0.193201351,0.232350343,0.014757827,0.039148992,4
'fuckstate',0.000763942,0.052565094,0.169884083,0.004502228,0.117318989,4
'usa',0.020932009,0.825146353,0.629102762,0.081392296,-0.196043591,1
'fightforiowa',0.031779985,0.743997417,0.451836225,0.084055655,-0.292161192,2
'mvp',0.003208556,0.276202487,0.386913609,0.015630969,0.110711122,4
'gohawks',0.044766998,0.838394366,0.79520169,0.136995444,-0.043192675,1
'hawkeyes',0.187776929,0.842679414,0.869837327,0.342088042,0.027157913,1
'ptxia',0.001680672,0.052565094,0.055165501,0.002399726,0.002600407,4
'careerarc',0.422307105,0.676959172,0.713400024,0.366538291,0.036440853,1
'healthcare',0.05500382,0.829628307,0.805578764,0.127283197,-0.024049543,1
'capitaniclassic',0.003055768,0.052565094,0.09766567,0.003469192,0.045100576,4
'chiefskingdom',0.011611917,0.403446668,0.529136448,0.046449305,0.12568978,3
'kinnick',0.001527884,0.162330329,0.202062362,0.00934759,0.039732033,4
'breaking',0.00947288,0.606868612,0.339609217,0.047185613,-0.267259396,2
'nfl',0.019098549,0.702484505,0.581284421,0.071253414,-0.121200084,1
'emmys',0.005958747,0.093173699,0.232350343,0.00934759,0.139176643,4
'swarm17',0.003666921,0.263195506,0.202062362,0.016497406,-0.061133144,4
'dubuque',0.031627196,0.970274747,0.232350343,0.101646635,-0.737924405,2
'ankeny',0.025210084,0.708656076,0.202062362,0.05943396,-0.506593714,2
'newton',0.006722689,0.301386347,0.135349188,0.017357532,-0.166037159,4
'veterans',0.049045073,0.80654742,0.738475679,0.136392739,-0.068071741,1
'beer',0.006417112,0.500287723,0.451836225,0.035147432,-0.048451498,1
'dtfm',0.002902979,0.263195506,0.055165501,0.014757827,-0.208030005,4
'dsm',0.012528648,0.743997417,0.202062362,0.05943396,-0.541935055,2
'clarkcup',0.005347594,0.301386347,0.09766567,0.017357532,-0.203720676,4
'ragbrai',0.007639419,0.301386347,0.581284421,0.027286054,0.279898074,3
'bettercallsaul',0.001986249,0.129237078,0.202062362,0.00934759,0.072825284,4
'usopen',0.00381971,0.24988868,0.363706099,0.019060214,0.113817419,3
'batman',0.07960275,0.982678305,0.339609217,0.1186577,-0.643069089,2
'impeachtrump',0.023223835,0.702484505,0.363706099,0.070568401,-0.338778406,2
'trump',0.045225363,0.99838919,0.67302827,0.143589044,-0.32536092,2
'impeachtrumpnow',0.003666921,0.24988868,0.314540315,0.018211696,0.064651635,4
'charlottesville',0.006722689,0.263195506,0.386913609,0.028883671,0.123718104,3
'war',0.002750191,0.24988868,0.09766567,0.015630969,-0.152223009,4
'trumpcare',0.010847976,0.543578336,0.314540315,0.045711044,-0.229038021,2
'northkorea',0.00381971,0.313593011,0.26105602,0.020741413,-0.052536991,1
'alternativefacts',0.00565317,0.337298688,0.386913609,0.024862482,0.049614922,1
'maga',0.051031322,0.986462503,0.67302827,0.150118783,-0.313434233,2
'fakenews',0.022154316,0.829628307,0.700319789,0.096500314,-0.129308517,1
'thankyou',0.005194805,0.443986381,0.510696665,0.028883671,0.066710284,1
'goodnews',0.001986249,0.193201351,0.232350343,0.010273255,0.039148992,4
'hypocrisy',0.002597403,0.276202487,0.314540315,0.016497406,0.038337827,4
'truth',0.014973262,0.815982142,0.784510096,0.076015817,-0.031472046,1
'covfefe',0.006264324,0.193201351,0.430924801,0.01990337,0.23772345,3
'christians',0.000458365,0.073605364,0.09766567,0.003469192,0.024060306,4
'nationalpetday',0.001986249,0.052565094,0.288398184,0.008409989,0.235833089,4
'bears',0.012681436,0.413827427,0.510696665,0.041238389,0.096869239,1
'isf2017',0.010695187,0.207947982,0.09766567,0.012989566,-0.110282311,4
'ragbrai2017',0.002444614,0.162330329,0.339609217,0.012093344,0.177278888,4
'foodprize17',0.001680672,0.093173699,0.055165501,0.004502228,-0.038008198,4
'gotmvp',0.007181054,0.348819163,0.59768095,0.038972456,0.248861787,3
'wonderwoman',0.037433155,0.899416958,0.363706099,0.094556761,-0.53571086,2
'themasters',0.004278075,0.073605364,0.363706099,0.012093344,0.290100735,4
'ftk',0.004278075,0.337298688,0.339609217,0.020741413,0.002310529,1
'sundayfunday',0.00565317,0.424040861,0.451836225,0.030467867,0.027795364,1
'oitnb',0.003514133,0.24988868,0.26105602,0.015630969,0.011167341,4
'thelastjedi',0.002291826,0.129237078,0.339609217,0.011188182,0.210372138,4
'memorialday17',0.000763942,0.052565094,0.09766567,0.004502228,0.045100576,4
'justiceleague',0.038961039,0.94763202,0.314540315,0.098436308,-0.633091705,2
'thebachelorette',0.004125286,0.263195506,0.339609217,0.01990337,0.076413711,1
'neverforget',0.008097785,0.482078469,0.629102762,0.040485377,0.147024293,3
'nit',0.003361345,0.178011446,0.26105602,0.013877527,0.083044575,4
'cyclones',0.043086325,0.958736386,0.644158708,0.130334356,-0.314577678,2
'oscars',0.009320092,0.073605364,0.430924801,0.015630969,0.357319437,4
'superbowl',0.023987777,0.263195506,0.613615065,0.041238389,0.350419559,3
'falcons',0.004125286,0.178011446,0.232350343,0.014757827,0.054338897,4
'cubs',0.038655462,0.889170725,0.726115784,0.132157934,-0.163054942,1
'taketheknee',0.001375095,0.093173699,0.232350343,0.007458946,0.139176643,4
'goals',0.008403361,0.606868612,0.59768095,0.045711044,-0.009187663,1
'blessed',0.027349121,0.975322425,0.885633045,0.124216842,-0.08968938,1
'oneonone',0.002291826,0.207947982,0.169884083,0.011188182,-0.038063899,4
'mississippivalleyfair',0.001069519,0.073605364,0.09766567,0.003469192,0.024060306,4
'hawkeyestate',0.007333843,0.382160183,0.581284421,0.035147432,0.199124238,3
'happyindependenceday',0.000458365,0.052565094,0.135349188,0.003469192,0.082784093,4
'maythe4thbewithyou',0.000763942,0.052565094,0.135349188,0.003469192,0.082784093,4
'selfie',0.013903743,0.825146353,0.547032385,0.069882182,-0.278113968,2
'worldseries',0.013598167,0.236261553,0.547032385,0.039730082,0.310770831,3
'prayforlasvegas',0.001833461,0.073605364,0.314540315,0.010273255,0.24093495,4
'cfc',0.005500382,0.443986381,0.202062362,0.030467867,-0.24192402,2
'lasvegasshooting',0.001222307,0.093173699,0.202062362,0.007458946,0.108888663,4
'harveyflood',0.001069519,0.093173699,0.09766567,0.004502228,0.004491971,4
'guncontrol',0.001069519,0.111644168,0.135349188,0.005508176,0.023705019,4
